Date,Number,MP Particles,
2022-01-26,0,2.6,1.517
2022-01-27,1,3.921,
2022-01-28,2,4.712,
2022-01-29,3,5.503,
2022-01-30,4,6.294,
2022-01-31,5,7.085,
2022-02-01,6,7.876,1.581
2022-02-02,7,8.667,
2022-02-03,8,9.458,
2022-02-04,9,8.8,
2022-02-05,10,11.04,
2022-02-06,11,11.831,
2022-02-07,12,12.622,1.581
2022-02-08,13,13.413,
2022-02-09,14,14.204,
2022-02-10,15,13.8,
2022-02-11,16,15.786,
2022-02-12,17,16.577,
2022-02-13,18,17.368,
2022-02-14,19,18.159,
2022-02-15,20,18.95,
2022-02-16,21,19.741,
2022-02-17,22,20.532,
2022-02-18,23,21.323,
2022-02-19,24,22.114,
2022-02-20,25,22.905,
2022-02-21,26,23.696,
2022-02-22,27,24.487,
2022-02-23,28,25.278,
